EmployeeNumber,Attrition,Department,Age,Gender,JobRole,JobSatisfaction,MonthlyIncome,WorkLifeBalance,YearsAtCompany
179,Yes,Research & Development,51,Male,Manufacturing Director,4,10650,3,4
182,No,Sales,39,Female,Sales Executive,3,5902,4,15
183,No,Sales,25,Male,Sales Executive,3,8639,3,2
184,No,Human Resources,30,Male,Human Resources,4,6347,1,11
190,Yes,Research & Development,32,Female,Laboratory Technician,1,4200,4,5
192,No,Research & Development,45,Male,Research Scientist,4,3452,2,6
193,No,Research & Development,38,Female,Research Scientist,3,4317,3,3
194,No,Research & Development,30,Female,Research Scientist,3,2632,2,5
195,No,Sales,32,Male,Sales Executive,4,4668,4,8
197,No,Research & Development,30,Female,Research Scientist,1,3204,3,3
198,No,Research & Development,30,Male,Laboratory Technician,4,2720,3,5
199,No,Research & Development,41,Male,Manager,1,17181,2,7
200,No,Research & Development,41,Male,Laboratory Technician,1,2238,3,5
201,No,Research & Development,19,Female,Laboratory Technician,2,1483,3,1
202,No,Research & Development,40,Female,Research Scientist,2,5605,3,20
204,No,Sales,35,Male,Sales Executive,2,7295,3,10
205,No,Sales,53,Male,Sales Representative,3,2306,1,7
206,No,Research & Development,45,Male,Laboratory Technician,2,2348,1,17
207,No,Sales,32,Female,Sales Executive,4,8998,3,9
208,No,Research & Development,29,Male,Manufacturing Director,3,4319,3,10
211,No,Research & Development,51,Male,Manufacturing Director,3,6132,3,1
214,No,Research & Development,58,Female,Research Scientist,2,3346,2,1
215,No,Sales,40,Male,Sales Executive,4,10855,2,12
216,No,Sales,34,Female,Sales Representative,3,2231,3,4
217,No,Research & Development,22,Male,Research Scientist,4,2323,3,2
218,No,Research & Development,27,Male,Research Scientist,2,2024,1,2
221,No,Research & Development,28,Male,Research Scientist,4,2713,1,5
223,No,Research & Development,57,Male,Healthcare Representative,4,9439,1,5
224,No,Research & Development,27,Male,Research Scientist,3,2566,2,1
226,No,Research & Development,50,Female,Manager,2,19926,3,5
227,No,Research & Development,41,Male,Research Scientist,3,2451,3,9
228,No,Sales,30,Female,Sales Executive,4,9419,3,10
230,No,Sales,38,Female,Sales Executive,4,8686,4,8
231,No,Research & Development,32,Male,Research Scientist,3,3038,3,5
233,No,Research & Development,27,Male,Research Scientist,2,3058,2,5
235,Yes,Sales,19,Female,Sales Representative,1,2325,4,0
238,No,Research & Development,36,Male,Laboratory Technician,2,2088,2,8
239,No,Research & Development,30,Male,Laboratory Technician,1,3072,3,12
240,No,Sales,45,Female,Sales Executive,1,5006,4,5
241,No,Research & Development,56,Female,Research Scientist,1,4257,3,2
242,No,Research & Development,33,Male,Research Scientist,4,2500,4,3
243,Yes,Research & Development,19,Male,Laboratory Technician,4,1102,2,1
244,No,Sales,46,Female,Sales Executive,1,10453,3,24
245,No,Research & Development,38,Female,Laboratory Technician,4,2288,3,2
246,No,Research & Development,31,Female,Research Scientist,4,3929,3,4
247,No,Research & Development,34,Female,Research Scientist,2,2311,3,3
248,Yes,Sales,41,Female,Sales Representative,2,3140,2,4
249,No,Research & Development,50,Male,Laboratory Technician,3,3690,2,3
250,No,Research & Development,53,Female,Manufacturing Director,1,4450,3,4
252,No,Research & Development,33,Female,Research Scientist,2,2756,3,8
253,No,Research & Development,40,Female,Manager,3,19033,3,20
254,No,Research & Development,55,Male,Research Director,2,18722,3,24
256,No,Research & Development,34,Male,Manufacturing Director,3,9547,2,10
258,No,Research & Development,51,Female,Healthcare Representative,2,13734,3,7
259,No,Research & Development,52,Male,Manager,3,19999,3,33
260,No,Research & Development,27,Female,Research Scientist,2,2279,2,7
261,Yes,Research & Development,35,Male,Manufacturing Director,3,5916,3,1
262,No,Research & Development,43,Male,Research Scientist,4,2089,4,5
264,No,Research & Development,45,Male,Manager,4,16792,3,20
267,No,Research & Development,37,Male,Research Scientist,1,3564,2,8
269,No,Research & Development,35,Female,Laboratory Technician,2,4425,3,6
270,No,Research & Development,42,Female,Manufacturing Director,3,5265,3,5
271,No,Research & Development,38,Male,Manufacturing Director,3,6553,3,1
273,No,Research & Development,38,Male,Manufacturing Director,4,6261,1,7
274,No,Research & Development,27,Male,Manufacturing Director,1,4298,3,2
275,No,Research & Development,49,Male,Manufacturing Director,4,6804,3,7
277,No,Research & Development,34,Male,Research Scientist,3,3815,4,5
281,No,Research & Development,40,Male,Laboratory Technician,4,2741,4,7
282,Yes,Research & Development,38,Male,Healthcare Representative,1,6673,3,1
283,Yes,Sales,29,Female,Sales Executive,4,7639,2,10
284,No,Research & Development,22,Male,Research Scientist,2,2328,2,4
286,No,Research & Development,36,Female,Laboratory Technician,4,2153,3,8
287,No,Research & Development,40,Male,Healthcare Representative,4,4876,1,3
288,No,Research & Development,46,Male,Healthcare Representative,1,9396,3,4
291,Yes,Sales,32,Male,Sales Executive,4,10400,2,14
292,No,Research & Development,30,Male,Manufacturing Director,3,8474,3,11
293,No,Sales,27,Female,Sales Executive,3,9981,3,7
296,No,Research & Development,51,Male,Research Director,2,12490,1,10
297,Yes,Research & Development,30,Female,Research Scientist,1,2657,3,5
298,No,Sales,41,Female,Manager,4,13591,3,1
299,Yes,Sales,30,Female,Sales Executive,1,6696,2,6
300,Yes,Research & Development,29,Male,Research Scientist,3,2058,2,6
302,No,Sales,45,Female,Sales Executive,4,8865,3,19
303,No,Sales,54,Female,Sales Executive,1,5940,3,6
304,No,Research & Development,36,Male,Laboratory Technician,2,5914,4,13
305,No,Research & Development,33,Female,Research Scientist,2,2622,3,3
306,No,Research & Development,37,Male,Research Director,4,12185,3,10
307,No,Sales,38,Male,Sales Executive,3,10609,2,16
308,No,Research & Development,31,Male,Manufacturing Director,3,4345,3,5
309,No,Research & Development,59,Male,Research Scientist,4,2177,3,1
311,No,Sales,37,Male,Sales Representative,4,2793,3,9
312,No,Sales,29,Female,Sales Executive,4,7918,3,11
314,No,Sales,35,Female,Sales Executive,3,8789,4,10
315,Yes,Research & Development,29,Male,Research Scientist,4,2389,2,4
316,No,Research & Development,52,Female,Laboratory Technician,4,3212,2,2
319,No,Research & Development,42,Male,Manager,4,19232,3,22
321,No,Human Resources,59,Male,Human Resources,3,2267,2,2
323,No,Sales,50,Female,Manager,4,19517,2,7
325,Yes,Research & Development,33,Male,Laboratory Technician,4,2436,1,5
327,No,Sales,43,Female,Manager,4,16064,3,17
328,Yes,Research & Development,33,Female,Laboratory Technician,1,2707,4,9
329,No,Sales,52,Male,Manager,3,19068,4,33
330,No,Sales,32,Female,Sales Representative,2,3931,3,4
331,Yes,Research & Development,32,Male,Laboratory Technician,3,3730,1,3
332,No,Research & Development,39,Female,Laboratory Technician,3,2232,3,3
333,No,Sales,32,Male,Sales Executive,4,4465,3,3
334,No,Research & Development,41,Male,Research Scientist,1,3072,2,1
335,No,Research & Development,40,Male,Research Scientist,4,3319,3,9
336,No,Research & Development,45,Male,Manager,4,19202,3,24
337,No,Research & Development,31,Male,Research Director,3,13675,3,2
338,No,Research & Development,33,Female,Research Scientist,4,2911,2,2
339,No,Research & Development,34,Male,Manufacturing Director,1,5957,3,11
340,No,Research & Development,37,Female,Research Scientist,1,3920,2,3
341,No,Research & Development,45,Male,Manufacturing Director,3,6434,3,3
342,Yes,Research & Development,37,Male,Manufacturing Director,3,10048,3,1
343,No,Research & Development,39,Female,Healthcare Representative,3,10938,3,19
346,No,Research & Development,29,Male,Research Scientist,4,2340,3,6
347,No,Research & Development,42,Female,Research Scientist,1,6545,3,3
349,No,Sales,29,Male,Sales Executive,4,6931,3,3
350,No,Research & Development,25,Female,Manufacturing Director,3,4898,3,4
351,No,Research & Development,42,Female,Laboratory Technician,1,2593,3,9
352,No,Research & Development,40,Male,Research Director,3,19436,3,21
353,No,Research & Development,51,Male,Research Scientist,4,2723,2,1
355,Yes,Research & Development,31,Male,Laboratory Technician,2,3479,4,5
359,No,Research & Development,32,Male,Laboratory Technician,2,2794,1,5
361,No,Sales,38,Male,Sales Executive,4,5249,3,8
362,No,Research & Development,32,Male,Laboratory Technician,1,2176,3,6
363,No,Sales,46,Female,Manager,2,16872,2,7
364,Yes,Research & Development,28,Male,Laboratory Technician,3,3485,1,0
366,No,Sales,29,Male,Sales Executive,2,6644,3,0
367,No,Research & Development,31,Male,Healthcare Representative,4,5582,3,9
369,No,Research & Development,25,Male,Healthcare Representative,1,4000,3,6
372,No,Research & Development,45,Male,Healthcare Representative,4,13496,3,20
373,No,Research & Development,36,Male,Laboratory Technician,4,3210,3,15
374,No,Research & Development,55,Male,Manager,1,19045,3,36
376,Yes,Research & Development,47,Male,Manager,2,11849,2,10
377,No,Research & Development,28,Male,Research Scientist,4,2070,2,5
378,No,Sales,37,Male,Sales Executive,4,6502,4,5
379,No,Research & Development,21,Male,Research Scientist,3,3230,4,3
380,No,Research & Development,37,Female,Research Director,4,13603,3,5
381,No,Research & Development,35,Female,Manager,2,11996,2,7
382,No,Sales,38,Female,Sales Executive,1,5605,3,8
384,No,Research & Development,26,Female,Manufacturing Director,2,6397,1,6
385,No,Research & Development,50,Male,Research Director,2,19144,2,10
386,No,Research & Development,53,Male,Research Director,3,17584,2,5
387,No,Sales,42,Male,Sales Executive,3,4907,3,20
388,No,Sales,29,Male,Sales Executive,4,4554,2,10
389,No,Research & Development,55,Male,Laboratory Technician,4,5415,3,10
390,No,Research & Development,26,Male,Healthcare Representative,1,4741,3,5
391,No,Research & Development,37,Female,Research Scientist,4,2115,3,17
392,Yes,Research & Development,44,Male,Laboratory Technician,3,3161,1,1
393,No,Research & Development,38,Male,Healthcare Representative,4,5745,3,2
394,Yes,Research & Development,26,Male,Laboratory Technician,2,2373,3,3
395,No,Research & Development,28,Female,Research Scientist,4,3310,3,5
396,No,Research & Development,49,Female,Research Director,1,18665,3,3
397,No,Research & Development,36,Male,Research Scientist,2,4485,3,8
399,No,Sales,31,Female,Sales Representative,2,2789,2,2
401,Yes,Sales,26,Male,Sales Executive,4,5828,3,8
403,No,Research & Development,37,Male,Research Scientist,4,2326,2,4
404,No,Sales,42,Female,Sales Executive,2,13525,4,20
405,Yes,Research & Development,18,Male,Laboratory Technician,3,1420,3,0
406,No,Sales,35,Male,Sales Executive,2,8020,2,11
407,No,Research & Development,36,Male,Laboratory Technician,4,3688,3,1
408,No,Research & Development,51,Male,Manufacturing Director,2,5482,3,4
410,No,Sales,41,Male,Manager,2,16015,3,22
411,No,Sales,18,Female,Sales Representative,3,1200,3,0
412,No,Research & Development,28,Male,Healthcare Representative,1,5661,3,8
416,No,Sales,31,Male,Sales Executive,4,6929,2,8
417,No,Research & Development,39,Male,Healthcare Representative,4,9613,2,18
419,No,Research & Development,36,Female,Laboratory Technician,2,5674,3,9
420,No,Sales,32,Male,Sales Executive,3,5484,2,13
421,No,Research & Development,38,Female,Research Director,2,12061,3,10
422,No,Research & Development,58,Male,Healthcare Representative,3,5660,3,5
423,No,Research & Development,31,Male,Research Scientist,4,4821,3,5
424,No,Human Resources,31,Male,Human Resources,1,6410,3,2
425,No,Research & Development,45,Male,Laboratory Technician,1,5210,3,24
426,No,Research & Development,31,Male,Research Scientist,4,2695,1,2
428,No,Research & Development,33,Female,Manager,2,11878,3,10
429,No,Research & Development,39,Male,Manager,1,17068,3,21
430,No,Research & Development,43,Female,Laboratory Technician,4,2455,3,8
431,No,Research & Development,49,Female,Healthcare Representative,3,13964,3,7
433,Yes,Research & Development,52,Male,Research Scientist,2,4941,2,8
434,No,Research & Development,27,Female,Research Scientist,2,2478,2,4
436,No,Sales,32,Female,Sales Executive,2,5228,3,13
437,No,Sales,27,Male,Sales Executive,3,4478,3,5
438,No,Sales,31,Male,Sales Executive,4,7547,3,7
439,No,Research & Development,32,Female,Research Scientist,4,5055,2,7
440,Yes,Research & Development,28,Male,Research Scientist,4,3464,2,3
441,No,Research & Development,30,Female,Research Scientist,4,5775,3,10
442,No,Research & Development,31,Female,Manufacturing Director,3,8943,3,10
444,No,Research & Development,39,Male,Manager,4,19272,3,21
445,Yes,Sales,39,Female,Sales Executive,3,5238,2,1
446,No,Sales,33,Male,Sales Executive,4,4682,2,7
447,No,Research & Development,47,Male,Research Director,3,18300,3,3
448,No,Research & Development,43,Female,Laboratory Technician,3,5257,4,9
449,No,Sales,27,Male,Sales Executive,2,6349,3,5
450,No,Research & Development,54,Female,Research Scientist,3,4869,2,4
451,No,Research & Development,43,Female,Healthcare Representative,1,9985,2,1
452,No,Research & Development,45,Male,Research Scientist,4,3697,3,10
453,No,Sales,40,Male,Sales Executive,4,7457,2,4
454,Yes,Research & Development,29,Male,Laboratory Technician,1,2119,2,7
455,No,Research & Development,29,Male,Laboratory Technician,4,3983,3,3
456,No,Sales,30,Female,Sales Executive,3,6118,3,10
458,No,Sales,27,Female,Sales Executive,2,6214,3,8
460,No,Research & Development,37,Male,Manufacturing Director,4,6347,2,6
461,No,Research & Development,38,Male,Research Director,4,11510,3,11
462,No,Research & Development,31,Female,Manufacturing Director,4,7143,2,11
463,No,Sales,29,Female,Sales Executive,2,8268,3,7
464,No,Research & Development,35,Male,Manufacturing Director,2,8095,3,16
465,No,Research & Development,23,Male,Research Scientist,4,2904,2,4
466,No,Research & Development,41,Male,Manufacturing Director,2,6032,3,5
467,No,Sales,47,Male,Sales Representative,3,2976,3,0
468,No,Research & Development,42,Female,Research Director,4,15992,3,1
469,No,Sales,29,Male,Sales Executive,3,4649,2,4
470,No,Human Resources,42,Male,Human Resources,3,2696,3,3
471,No,Research & Development,32,Female,Laboratory Technician,2,2370,3,8
473,No,Sales,48,Female,Manager,3,12504,1,0
474,No,Research & Development,37,Male,Research Scientist,1,5974,3,7
475,No,Sales,30,Female,Sales Executive,3,4736,4,2
476,No,Sales,26,Male,Sales Executive,3,5296,3,8
477,No,Research & Development,42,Male,Healthcare Representative,4,6781,3,1
478,Yes,Sales,21,Female,Sales Representative,2,2174,3,3
479,No,Sales,36,Female,Sales Executive,4,6653,3,1
481,No,Sales,36,Male,Sales Executive,4,9699,3,13
482,No,Research & Development,57,Male,Healthcare Representative,3,6755,3,3
483,No,Research & Development,40,Female,Laboratory Technician,3,2213,3,7
484,No,Sales,21,Male,Sales Representative,4,2610,2,3
485,Yes,Sales,33,Female,Sales Representative,3,2851,3,1
486,No,Research & Development,37,Female,Laboratory Technician,1,3452,3,5
487,No,Research & Development,46,Female,Manufacturing Director,3,5258,4,1
488,Yes,Sales,41,Male,Sales Executive,2,9355,3,8
491,No,Research & Development,50,Male,Healthcare Representative,4,10496,3,4
492,Yes,Sales,40,Male,Sales Executive,3,6380,3,6
493,No,Research & Development,31,Male,Research Scientist,2,2657,3,2
494,Yes,Sales,21,Female,Sales Representative,2,2716,3,1
495,No,Research & Development,29,Male,Research Scientist,4,2201,3,3
496,No,Research & Development,35,Male,Healthcare Representative,2,6540,3,1
497,No,Research & Development,27,Male,Laboratory Technician,2,3816,3,5
498,No,Sales,28,Male,Sales Executive,4,5253,3,7
499,No,Research & Development,49,Male,Healthcare Representative,3,10965,3,5
500,No,Sales,51,Female,Sales Executive,4,4936,2,7
501,No,Research & Development,36,Female,Research Scientist,3,2543,3,2
502,Yes,Sales,34,Male,Sales Executive,4,5304,2,5
505,No,Research & Development,55,Female,Manager,4,16659,3,5
507,No,Sales,24,Female,Sales Executive,3,4260,4,5
508,No,Sales,30,Male,Sales Representative,2,2476,3,1
510,Yes,Research & Development,26,Male,Research Scientist,1,3102,3,6
511,No,Research & Development,22,Female,Research Scientist,2,2244,3,2
513,No,Sales,36,Male,Sales Executive,3,7596,3,10
514,Yes,Research & Development,30,Male,Research Scientist,4,2285,3,1
515,No,Research & Development,37,Female,Laboratory Technician,1,3034,2,18
516,No,Sales,40,Female,Sales Executive,2,5715,3,5
517,No,Research & Development,42,Female,Laboratory Technician,1,2576,3,5
518,No,Research & Development,37,Male,Manufacturing Director,2,4197,2,1
520,No,Research & Development,43,Male,Research Director,2,14336,3,25
521,No,Research & Development,40,Female,Laboratory Technician,3,3448,3,1
522,No,Research & Development,54,Male,Research Director,1,19406,2,4
523,No,Sales,34,Female,Sales Executive,3,6538,3,3
524,No,Research & Development,31,Female,Manufacturing Director,1,4306,1,13
525,No,Research & Development,43,Male,Laboratory Technician,4,2258,3,3
526,No,Research & Development,43,Female,Healthcare Representative,3,4522,3,5
527,No,Sales,25,Female,Sales Executive,4,4487,3,5
529,No,Research & Development,37,Female,Research Scientist,3,4449,3,13
530,No,Research & Development,31,Male,Laboratory Technician,1,2218,3,4
531,No,Research & Development,39,Male,Manager,3,19197,3,21
532,No,Sales,56,Female,Sales Executive,1,13212,2,7
533,No,Sales,30,Female,Sales Executive,3,6577,3,5
534,No,Sales,41,Male,Sales Executive,1,8392,3,10
536,No,Research & Development,28,Male,Laboratory Technician,1,4558,3,10
538,Yes,Research & Development,25,Male,Laboratory Technician,1,4031,3,2
543,No,Research & Development,52,Male,Manufacturing Director,3,7969,3,5
544,No,Research & Development,45,Male,Research Scientist,4,2654,2,2
546,No,Research & Development,52,Female,Manager,4,16555,1,5
547,No,Research & Development,42,Female,Research Scientist,3,4556,3,5
548,No,Research & Development,30,Female,Manufacturing Director,4,6091,3,5
549,No,Research & Development,60,Female,Manager,1,19566,1,29
550,No,Research & Development,46,Female,Manufacturing Director,3,4810,2,10
551,No,Research & Development,42,Female,Healthcare Representative,4,4523,4,6
554,Yes,Sales,24,Female,Sales Representative,2,3202,3,5
555,Yes,Sales,34,Female,Sales Representative,3,2351,2,2
556,No,Research & Development,38,Male,Laboratory Technician,4,1702,3,1
558,No,Sales,40,Female,Manager,3,18041,3,20
560,No,Research & Development,26,Female,Research Scientist,4,2886,1,3
562,No,Research & Development,30,Male,Laboratory Technician,4,2097,1,5
564,No,Research & Development,29,Male,Research Director,3,11935,3,10
565,Yes,Research & Development,29,Female,Research Scientist,2,2546,4,2
566,Yes,Human Resources,19,Male,Human Resources,4,2564,4,1
567,No,Sales,30,Female,Sales Executive,1,8412,3,9
568,No,Sales,57,Male,Manager,4,14118,2,1
569,No,Research & Development,50,Male,Manager,3,17046,3,27
571,No,Research & Development,30,Female,Laboratory Technician,4,2564,2,11
573,No,Sales,60,Female,Sales Executive,1,10266,4,18
574,No,Research & Development,47,Female,Manufacturing Director,4,5070,3,5
575,No,Research & Development,46,Male,Research Director,3,17861,1,3
577,No,Research & Development,35,Male,Laboratory Technician,3,4230,3,5
578,No,Research & Development,54,Female,Laboratory Technician,3,3780,3,1
579,No,Research & Development,34,Male,Research Scientist,3,2768,3,7
580,No,Sales,46,Female,Sales Executive,4,9071,3,3
581,No,Research & Development,31,Male,Manufacturing Director,2,10648,4,13
582,Yes,Research & Development,33,Male,Manager,3,13610,4,7
584,Yes,Research & Development,33,Male,Laboratory Technician,4,3408,3,4
585,No,Sales,30,Male,Sales Representative,2,2983,3,3
586,No,Research & Development,35,Male,Healthcare Representative,3,7632,3,8
587,Yes,Research & Development,31,Male,Healthcare Representative,3,9824,3,1
590,Yes,Human Resources,34,Female,Human Resources,1,9950,3,3
591,No,Research & Development,42,Male,Laboratory Technician,3,2093,3,2
592,No,Sales,36,Male,Sales Executive,4,9980,2,10
593,Yes,Research & Development,22,Male,Laboratory Technician,3,3894,3,2
595,No,Sales,48,Female,Sales Executive,4,4051,3,9
597,No,Sales,55,Female,Manager,2,16835,3,10
